古文,現代語訳
こちたし,うるさい/大げさだ/はなはだしい
ねたし,くやしい
けし,異様だ
わびし,苦しい
心苦し,気の毒だ/気がかりだ
まだし,まだ早い
賢し,優れている/しっかりしている/こざかしい
まばゆし,まぶしい/美しい/恥ずかしい/見ていられない
忝し,おそれ多い/面目ない
かしこし,おそれ多い/優れている/都合がよい/はなはだしく
しげし,多い
凄し,気味が悪い/さびしい/すばらしい
いたし,すばらしい/ひどい/はなはだしく/それほど
おぼろけなり,並ひととおりだ/並ひととおりではない
なのめなり,並ひととおりだ/いい加減だ/並ひととおりではない
清らなり/けうらなり,清らかで美しい
まほなり,完全である
顕なり,まる見えである
強ちなり,強引だ/むやみに
せちなり,切実である/大切である
頓なり,急だ
うちつけなり,にわかだ/軽率だ
更なり,言うまでもない
懇ろなり,心を込めて丁寧だ/親密だ
おいらかなり,おっとりしている
あやにくなり,意地が悪い/あいにくだ
覚え,評判/寵愛
ひま,隙間/合間
いとま,暇/休むこと
ざえ,教養/才能
喜び,お礼
心ばへ,気だて/心づかい/趣
心尽くし,もの思いをすること
そこ,あなた
ここ,このわたし
かれ,あの人
それ,その人
これ,このわたし
あなた,向こう
そなた,あなた
こなた,このわたし
そのかみ,その当時
せうと,兄
おとうと/おとと,妹
いも,いとしいあなた
つま,夫
はらから,兄弟
かたへ,半分/傍ら/仲間
ほど,ころ/広さ/身分/様子
限り,限界/機会/臨終/すべて
際,身分
ついで,序列/機会
沙汰,評議/裁き/命令/噂
とが,欠点/罪
け,ため
由,風情/由緒/手立て/こと
様,様子/理由/方法/〜ことには
契り,約束/宿縁
ほだし,障害となるもの
文目,道理
うつつ,現実/正気
あるじ,もてなし
ふるさと,なじみの土地/わが家/旧都
さて,そのまま/そのほか
さながら,そのまま/すべて
今,すぐに/さらに
せめて,強いて/ひどく
むべ/うべ,なるほど
かつ,一方では/すぐに
ひねもす,一日中
かまへて,決して/なんとかして
あへて,まったく
かけて,まったく/決して
定めて,きっと
のたまふ,おっしゃる
おほす,おっしゃる/命令なさる
聞こゆ/聞こえさす,申し上げる/〜申し上げる
申す,申し上げる/〜申し上げる
奏す,申し上げる
啓す,申し上げる
承る,お受けする/お聞きする
給ふ,お与えになる/下さる/〜なさる/〜ます
たまはす,お与えになる
たまはる,いただく/お与えになる
召す,お呼びになる/お取り寄せになる/お召しになる/お乗りになる
思す/思し召す,お思いになる
大殿籠る,おやすみになる
候ふ,お仕え申し上げる/あります/〜ます
侍り,お仕え申し上げる/あります/〜ます
奉る,差し上げる/〜申し上げる/お召しになる/召し上がる/お乗りになる
参らす,差し上げる/〜申し上げる
まゐる/まうづ,参上する/差し上げる/召し上がる
まかる/まかづ,退出する/出かけます
遣はす,おやりになる
仕まつる,お仕え申し上げる/し申し上げる
聞こし召す,お聞きになる/召し上がる
しろしめす,知っていらっしゃる/お治めになる
おはす/おはします,いらっしゃる/〜いらっしゃる
いますかり,いらっしゃる/〜いらっしゃる
御覧ず,御覧になる
