古文,現代語訳
めづ,心がひかれる／愛する
つつむ,はばかる／覆い囲む
やすらふ,ためらう／休む
たふ,我慢する／能力がある
むすぶ,すくいあげる／作る
たゆむ,油断する／怠る
ならふ,なじむ／慣れる
まねぶ,まねる／伝える
いらふ,返事をする
やむ,終わる／治る
もてなす,取り計らう／もてはやす
おきつ,取り計らう／計画を立てる
かこつ,かこつける／恨み嘆く
てうず,整える
さはる,さしつかえる
まどふ,迷う／ひどく〜する
こうず,疲れる／困る
すさぶ,興じる／慰めにする
いはけなし,幼い
しるし,はっきりしている／その通りだ
らうらうじ,洗練されている
かたはらいたし,見苦しい
とし,速い／すぐに
らうがはし,混雑している／乱暴だ
めやすし,見苦しくない
いぶせし,うっとうしい／気がかりだ
なめし,無礼だ／失礼だ
またし,完全だ／無事だ
むくつけし,気味が悪い／無骨だ
ともし,貧しい／乏しい
おどろおどろし,大げさだ／気味が悪い
ことごとし,大げさだ／仰々しい
こちたし,仰々しい／多すぎる
けし,異様だ／悪い
たいだいし,とんでもない／もってのほかだ
まさなし,みっともない／不都合だ
ゆくりなし,思いがけない／突然だ
けざやかなり,はっきりとしている／際立っている
なのめなり,平凡だ／いい加減だ
とみなり,急だ
けうなり,珍しい／めったにない
あやにくなり,あいにくだ／厳しい
せちなり,ひどい／しきりに
そのかみ,その当時
よろこび,昇進などの慶事
きは,身分／そば
しな,身分／品位
かたへ,仲間／片方
あや,波紋／理由
はらから,兄弟姉妹
ほだし,足手まとい／束縛
すべ,手段／方法
たづき,手段／手がかり
よすが,身を寄せる所
せうそこ,手紙
とが,罪／欠点
れい,いつも
い,眠り
うつつ,現実／正気
あるじ,客をもてなす／ご馳走する
ふるさと,旧都／昔馴染みの地
をこ,愚かだ
むべ,なるほど
やをら,そっと静かに
いとど,ますます／いっそう
まだき,まだその時期でないうちに
あまた,たくさん／数多く
かたみに,互いに
さがなし,意地が悪い／いたずらだ
びんなし,不都合だ／つまらない
かひなし,無駄だ／つまらない
いふかひなし,どうしようもない／つまらない
あり,存在する／いる
さり,そうだ
たのむ,あてにする
かづく,褒美として頂戴する
ふる,古びる
あらまほし,好ましい
かたし,むずかしい／まれだ
さらなり,言うまでもない
いかなり,どうだ／どのようだ
つゆ,わずかなもの／少しも
よろづ,すべて
おほかた,だいたい／全然
あらまし,予定／予想
ただ,直接／普通だ
さ,そう
かく,このように
さて,そのまま
さも,いかにも
はた,〜もまた／それでもやはり
よに,たいそう／決して
さだめて,きっと
かつ,一方では
