古文,現代語訳
いふかひなし,どうしようもない ／ 取るに足らない ／ ひどい／ふがいない
よしなし,関係が無い／理由がない ／ 方法がない ／ つまらない／かいがない
びんなし（便無し）,都合が悪い／不都合だ ／ 困ったことだ／感心しない
さうざうし,物足りない ／ 心寂しい
むつかし,うっとうしい／不快だ ／ わずらわしい／面倒だ ／ むさくるしい／見苦しい
あてなり（貴なり）,身分が高い／高貴だ ／ 上品だ／優美だ
きよらなり（清らなり）,美しい ／ 華麗だ
さらなり（更なり）,(いまさら)言うまでもない ／ もちろんだ
あらはなり（顕はなり）,まる見えだ ／ 明らかだ
あからさまなり,ちょっとの間だ ／ ちょっと
かたくななり,情趣を解さない／教養がない ／ 見苦しい／みっともない
あだなり（徒なり）,はかない／むなしい ／ 不誠実だ／浮気だ
すずろなり（漫ろなり）,あてもない／わけもない ／ 思いがけない／無関係だ／つまらない ／ むやみに
むげなり（無下なり）,まったくひどい／最低だ ／ むやみに／まったく(～ない)
おほやけ（公）,朝廷 ／ 天皇
きわ（際）,身分／分際 ／ 程度
しるし,ご利益／霊験 ／ 効果／効き目 ／ 前兆／兆候
ことわり（理）,道理
ためし（例）,例／先例／手本 ／ 語り草／話の種
わざ（業）,仏事／法事 ／ こと／行い
おぼえ（覚え）,評判／人望 ／ 寵愛(を受けること)
ここち（心地）,気持ち／感じ ／ 病気／体調
うつつ（現）,現実 ／ 正気
つとめて,早朝 ／ 翌朝
つごもり,月末 ／ 月の下旬
ついで,(物事の)順序／順番 ／ 機会／折
たより,頼れるもの／よりどころ ／ 縁故／つて ／ 便宜／手段 ／ 機会／ついで
こころざし（志）,愛情／誠意 ／ 贈り物／謝礼
よし（由）,縁／関係／いわれ ／ 方法／手段 ／ 由緒／風情／品 ／ 事情／旨／こと ／ そぶり／ようす
よろづ（万）,さまざまなこと ／ すべて／万事につけて
て（手）,筆跡／書／文字 ／ 演奏法／曲
ざえ（才）,学問(漢字の)学識／才能
おのづから（自ら）,自然に／ひとりでに ／ 偶然に／たまたま ／ 万一／ひょっとすると
すなはち,すぐに ／ そのまま
とく（疾く）,早く／すぐに ／ すでに／とっくに
いつしか,早く(～したい) ／ 早くも
なべて,総じて／おしなべて ／ 普通／並
いとど,いっそう ／ ますます
かく,このように
とかく,あれこれと ／ 何やかやと
しか,そう ／ そのように
さ,そう ／ そのように
さばかり,その程度／それほど ／ 非常に／たいそう
さながら,そのまま／もとのまま ／ 全部／すべて
つゆ～打消,少しも～ない ／ まったく～ない
よも～じ,まさか～ないだろう
なかなか,かえって ／ むしろ
さすがに,そうはいってもやはり
かつ,一方では ／ すぐに／次から次へと
など・などか,どうして ／ どうして(～か／いや／～ない)
なでふ・なんでふ,どうして ／ どうして(～か／いや／～ない)
ありし・ありつる,かつての／以前の ／ さっきの／先ほどの
れいの（例の）,いつものように ／ いつもの
おとにきく（音に聞く）,うわさに聞く／人づてに聞く ／ 評判が高い／有名だ
いかがせむ,どうしようか ／ どうしようもない
さるべき,(そうするのが)適当な／ふさわしい ／ そうなるはずの／そうなる運命の ／ 立派な／それ相応の
いざたまへ（いざ給へ）,さあ／(一緒に)いらっしゃい ／ さあ／どうぞ
しる（領る）,(土地を)領有する／(国を)治める
あくがる,さまよい出る ／ (魂が)宙にさまよう ／ (心が)うわの空になる
やすらふ（休らふ）,立ち止まる／とどまる ／ ためらう／躊躇する
うちいづ（うち出づ）,口に出して言う
やつす,地味な格好にする ／ 目立たない様子をする
おとなふ（音なふ）,音を立てる／声を立てる ／ 手紙を出す／訪れる
そばむ（側む）,横を向く
かたらふ（語らふ）,交際する ／ 親しくする
すむ（住む）,(男が女のもとに)通う
さはる（障る）,妨げられる ／ 差し支える
あるじす（饗す）,客にごちそうする ／ 客をもてなす
