古文,現代語訳
さらに（更に）,決して／全然／全く ／ 重ねて／これ以上／新たに
いとど,ますます／いよいよ／いっそう／その上
あまた（数多）,たくさん／数多く／大勢 ／ 非常に／たいそう
さすがに・さすがなり,そうは言うもののやはり／いくら何でも ／ そうもいかない／感心しない
あはれ・あはれなり（哀れなり）,ああ ／ しみじみとした情趣／感動／悲哀／愛情／情味 ／ しみじみと趣深い／しみじみと悲しい ／ 心にしみて気の毒だ ／ 美しい／かわいい
つかうまつる（仕う奉る）,お仕えする／いたす ／ （して）さし上げる ／ （お）～申し上げる
にほふ（匂ふ）,美しく輝く／美しく咲く／美しく染まる ／ 恩恵が及ぶ／栄える ／ 香る／（香りが）漂う
やる（遣る）,行かせる／送る ／ 導き入れる ／ （心を）晴らす ／ ～（し）きる／完全に～する／遠く～する
ごらんず（御覧ず）,ご覧になる
めす（召す）,お呼びになる／お取り寄せになる ／ めし上がる／お召しになる／お乗りになる
さる（避る・去る・然る）,避ける／よける ／ （その時に）なる／（その時が）来る ／ そういう／しかるべき／もっともな／立派な ／ 去る／遠ざかる／遠ざける
きこしめす（聞こし召す）,お聞きになる ／ めし上がる／お飲みになる ／ お治めになる
いそぐ（急ぐ）,準備する／用意する ／ 急ぐ
ならふ（馴らふ・慣らふ・習ふ）,なじむ／慣れる／なつく／親しくなる ／ 習う／経験する
わく（分く・別く）,区別する／判断する ／ 分配する／押し分ける
ながむ（眺む・詠む）,物思いに沈む／見渡す／ぼんやり見る ／ 吟ずる／（詩歌を）詠む
まどふ・まとふ（惑ふ）,迷う／途方に暮れる／道に迷う ／ ひどく～（する）
おくる（後る・遅る）,先立たれる／遅れる／後に残る ／ 劣る／気後れにする
つつむ（慎む・包む）,はばかる／遠慮する／気後れする ／ 覆い囲む／隠す／包み隠す／覆う
おほす（仰す）,おっしゃる ／ 命じる／言いつける
おどろく（驚く）,目をさます ／ はっと気付く ／ びっくりする
うつろふ・うつらふ（移ろふ・移らふ）,色あせる／しぼむ ／ 移る／移転する ／ 移り変わる／（心が）移り変わる
あそぶ（遊ぶ）,管弦（音楽）などの遊びをする／演奏する ／ 遊び興じる ／ 歩き回る
むすぶ（掬ぶ・結ぶ）,すくいあげる ／ 作る／形づくる／できる／生じさせる ／ 約束する ／ 結びつける／結ぶ
かる（離る・枯る・涸る・嗄る）,離れる／別れる ／ 疎遠になる／絶える ／ 枯れる／ひからびる ／ かすれる／しわがれる ／ 干上がる／衰える／涸れる
そうす（奏す）,申し上げる／奏上する ／ 演奏する／奏でる
はつ（果つ）,終わる／なくなる／死ぬ ／ ～（し）終わる／ ～（し）きる／すっかり～（する）
めづ（愛づ）,心がひかれる／感動する ／ 愛する／ほめる
とぶらふ（訪ふ・弔ふ）,見舞う／たずねる ／ とむらう／冥福を祈る
こころう（心得）,理解できる／納得がいく／判断する ／ 通じる／たしなみがある
まかる（罷る）,退出申し上げる／参上する／参る ／ 参ります／行きます ／ ～申す／～ます
おこなふ（行ふ）,勤行する／（仏道）修行する／お勤めをする ／ 治める／政治を行う／処理する
ののしる（罵る）,大声で騒ぐ／大騒ぎする ／ 評判が高い／威勢がよい／うわさされる ／ 口やかましく言う
ねんず（念ず）,（神仏に）祈る ／ 我慢する
いらふ（答ふ・応ふ）,返事をする／応える ／ 挨拶する
かしづく（傅く）,大切に育てる／いつくしむ ／ 大切に世話をする／後見する
はづかし（恥づかし）,（こちらが気がひけるほど相手が）立派だ ／ 気後れする／気がひける／きまりが悪い
あし（悪し）,悪い／へただ／不都合だ／激しい
つらし（辛し）,薄情だ／冷淡だ ／ 恨めしい／苦痛だ
めづらし（珍し）,すばらしい／好ましい ／ めったにない／例がない ／ 目新しい／新鮮だ
やむ（ん）ごとなし,たいそう尊い／高貴だ／貴重だ ／ やむをえない／捨てておけない ／ 並々でない／格別だ
とし（疾し・利し・敏し）,速い／早い／すぐに／急いで／激しい ／ するどい／すばやい
なつかし（懐かし）,親しみが持てる／かわいい／いとしい ／ 心ひかれる／慕わしい
おもしろし（面白し）,趣がある／風情だ／趣深い ／ 興味深い／おもしろい
おぼつかなし,はっきりしない／ぼんやりしている ／ 心細い／気がかりだ／不安だ／待ち遠しい
わりなし,わけがわからない／仕方がない ／ 堪え難い／つらい／苦しい ／ むやみに／無理に／強引だ
かたじけなし（辱し・忝し）,恐れ多い／もったいない ／ 恥ずかしい／面目ない ／ ありがたい／うれしい
かたし（難し・堅し・固し）,むずかしい／困難だ／容易でない ／ まれだ／めったにない ／ ～（し）にくい／～堅固だ／厳格だ
うつくし（美し）,かわいらしい ／ 立派だ／見事だ ／ きれいだ／美しい
ゆゆし,不吉だ／ひどい／はなはだしい ／ 恐れ多い／すばらしい
よろし（宜し）,適当だ／ふさわしい ／ まあまあだ／悪くない
ありがたし（有り難し）,めったいにない／めったにないほど立派だ ／ 生きるのが難しい ／ （表現が）むずかしい
うしろめたし（後ろめたし）,気がかりだ／心配だ ／ 後ろ暗い／やましい
ことごとし・ことことし（事事し）,大げさだ／仰々しい
