No.,英単語,日本語,Unit
131,age,年齢、時代、時期、年を取る,Unit２
132,market,市場,Unit２
133,circle,円、輪、循環、（しばしば～s）グループ、サークル,Unit２
134,heaven,天国、天、楽園,Unit２
135,program,計画、予定、番組,Unit２
136,speed,速度、速さ,Unit２
137,trip,旅、小旅行,Unit２
138,side,側面、面、側部、片側、脇、側面の,Unit２
139,monster,怪物、怪獣,Unit２
140,tool,道具、工具、手段,Unit２
141,ash,灰、燃えがら,Unit２
142,top,頂上、頂点、トップ、トップの,Unit２
143,beauty,美しさ、美,Unit２
144,breath,いき、呼吸,Unit２
145,power,力、能力、権力、支配力,Unit２
146,address,住所、宛名、（式典などでの）あいさつの言葉、式辞,Unit２
147,illness,病気、疾患、気分がすぐれないこと,Unit２
148,form,形状、ひな型、申込用紙,Unit２
149,anger,（#^ω^）、立腹,Unit２
150,idea,考え、アイデア,Unit２
151,think,～と［を］思う、考える,Unit２
152,put,～を置く、しまう、付ける、～をある状態に置く,Unit２
153,begin,（～し）始める（to do/doing）、～を始める、（出来事などが）始まる,Unit２
154,eat,～を食べる、（人）を悩ませる,Unit２
155,see,～が見える、～を見る、～に会う,Unit２
156,play,遊ぶ、～を演奏する、～の試合をする、演劇、遊び,Unit２
157,walk,歩く、散歩する,Unit２
158,study,～を勉強する、勉強する,Unit２
159,buy,～を買う、購入する,Unit２
160,watch,～を注意して見る、見る、腕時計,Unit２
161,listen,（～を）聞く（to～）、（～に）耳をかあ向ける（to～）,Unit２
162,hear,～が聞こえる、～を聞く、～の声を聞く,Unit２
163,wash,～を洗う、選択する,Unit２
164,sing,歌う、（鳥・虫などが）さえずる、鳴く,Unit２
165,call,～に電話をかける、（人・物など）を～と呼ぶ、～を呼び出す、～を大声で叫ぶ,Unit２
166,become,～になる、（福・色などが）～に似合う,Unit２
167,believe,～を信じる、信用する、（～の）存在を信じる（in～）,Unit２
168,reach,～に着く、到着する、～に達する、届く,Unit２
169,feel,～を感じる、退官する、触って調べる,Unit２
170,bring,～に…を持ってくる、連れてくる,Unit２
171,beautiful,美しい、素晴らしい、立派な,Unit２
172,interesting,興味深い、面白い,Unit２
173,same,同じ、同一の、よく似た、（～と）同じような（as～）,Unit２
174,happy,幸せな、楽しい、うれしい,Unit２
175,strong,強い、丈夫な、力のある,Unit２
176,tall,背が高い、（建物・木などが）高い,Unit２
177,late,遅れた、遅刻した、（いつもより）遅い、後半の、晩年の,Unit２
178,free,自由な、自由な身の、暇な、無料の,Unit２
179,fat,太った、脂肪の多い、分厚い、志望,Unit２
180,sick,病気の、病んでいる、吐き気がする,Unit２
181,warm,暖かい、温かい、温暖な、（人が）暖かく感じる,Unit２
182,great,巨大な、大きな、偉大な、卓越した,Unit２
183,dry,乾いた、水気のない、日照り続きの、乾燥した,Unit２
184,next,次の、今度の、隣り合った、隣の,Unit２
185,kind,親切な、心からの、種類,Unit２
186,heavy,重い、大きい,Unit２
187,lucky,運が良い、ついている、まぐれ当たりの,Unit２
188,special,特別の、特殊な、特別に大事な、とりわけ重要な,Unit２
189,cool,涼しい、（物が）稗田、落ち着いた、冷静な、かっこいい,Unit２
190,wet,ぬれた、湿った、湿気の多い,Unit２
191,again,もう一度、再び,Unit２
192,always,いつも、常に、以前からずっと、かねてから,Unit２
193,sometimes,時々、時折,Unit２
194,often,よく、しばしば、たびたび,Unit２
195,just,ちょうど、まさに、ほんの、たった,Unit２
196,away,離れて、あちらに、留守にして,Unit２
197,out,外へ、外に、外出して、不在で,Unit２
198,ago,～前に,Unit２
199,fast,急速に、早く、早い,Unit２
200,abroad,海外で［に］、外国で［に）,Unit２
201,knife,ナイフ,Unit３
202,string,ひも、糸,Unit３
203,purse,財布,Unit３
204,cash,現金,Unit３
205,person,人,Unit３
206,image,イメージ,Unit３
207,prize,賞,Unit３
208,victory,勝利,Unit３
209,concert,演奏会,Unit３
210,bottom,底,Unit３
211,part,部分,Unit３
212,center,中心,Unit３
213,spot,地点,Unit３
214,past,過去,Unit３
215,reason,理由,Unit３
216,opinion,意見,Unit３
217,chance,チャンス,Unit３
218,problem,問題,Unit３
219,challenge,挑戦,Unit３
220,health,健康,Unit３
221,basis,基礎,Unit３
222,birth,誕生,Unit３
223,president,大統領,Unit３
224,theater,劇場,Unit３
225,adventure,冒険,Unit３
226,example,例,Unit３
227,joy,喜び,Unit３
228,staff,職員,Unit３
229,event,出来事,Unit３
230,ghost,亡霊,Unit３
231,carpenter,大工,Unit３
232,entry,入ること,Unit３
233,pair,一対,Unit３
234,shadow,暗がり,Unit３
235,hole,穴,Unit３
236,gas,気体,Unit３
237,horizon,地平線、水平線,Unit３
238,island,島,Unit３
239,rhythm,リズム,Unit３
240,item,項目,Unit３
241,use,使う,Unit３
242,talk,話す,Unit３
243,know,知っている,Unit３
244,say,言う,Unit３
245,stand,立つ,Unit３
246,wait,待つ,Unit３
247,enjoy,～を楽しむ,Unit３
248,belong,所属する,Unit３
249,cry,泣く,Unit３
250,dream,夢を見る,Unit３
251,need,～を必要とする,Unit３
252,drink,〜を飲む,Unit３
253,keep,〜を...に保つ,Unit３
254,help,手伝う,Unit３
255,catch,〜を捕らえる,Unit３
256,love,〜を愛する,Unit３
257,send,送る,Unit３
258,cook,料理する,Unit３
259,build,を建てる,Unit３
260,change,〜を変える,Unit３
261,foolish,ばかげた,Unit３
262,busy,忙しい,Unit３
263,angry,怒った,Unit３
264,different,異なる,Unit３
265,easy,容易な,Unit３
266,afraid,恐れる,Unit３
267,fresh,新鮮な,Unit３
268,important,大事な,Unit３
269,deep,深い,Unit３
270,alone,たった1人の,Unit３
271,difficult,難しい,Unit３
272,every,あらゆる,Unit３
273,hard,硬い,Unit３
274,large,大きい,Unit３
275,poor,貧しい,Unit３
276,dark,暗い,Unit３
277,full,いっぱいの,Unit３
278,early,早い,Unit３
279,careful,気をつける,Unit３
280,dear,親愛なる,Unit３
281,quick,素早い,Unit３
282,far,遠い,Unit３
283,sweet,甘い,Unit３
284,near,近い,Unit３
285,TRUE,本当の,Unit３
286,small,小型の,Unit３
287,right,正しい,Unit３
288,much,多くの,Unit３
289,bright,輝いている,Unit３
290,pretty,かわいい,Unit３
291,once,一度,Unit３
292,together,一緒に,Unit３
293,finally,とうとう,Unit３
294,usually,たいてい,Unit３
295,still,まだ,Unit３
296,then,その時,Unit３
297,almost,ほとんど,Unit３
298,even,〜でさえ,Unit３
299,well,上手に,Unit３
300,twice,2度,Unit３
301,guest,客,Unit４
302,business,商売,Unit４
303,gesture,身振り手振り,Unit４
304,journey,旅,Unit４
305,vacation,休暇,Unit４
306,stream,小川,Unit４
307,thief,泥棒,Unit４
308,conversation,会話,Unit４
309,history,歴史,Unit４
310,pain,痛み,Unit４
311,fever,熱,Unit４
312,headache,頭痛,Unit４
313,accident,事故,Unit４
314,sight,視力,Unit４
315,talent,才能,Unit４
316,office,事務所,Unit４
317,energy,エネルギー,Unit４
318,gymnasium,体育館,Unit４
319,balance,均衡,Unit４
320,continent,大陸,Unit４
321,nation,国,Unit４
322,crop,作物,Unit４
323,cave,洞くつ,Unit４
324,break,休憩,Unit４
325,law,法,Unit４
326,dust,ちり,Unit４
327,advice,忠告,Unit４
328,space,空間,Unit４
329,festival,祭り,Unit４
330,price,値段,Unit４
331,plan,計画,Unit４
332,exit,出口,Unit４
333,course,道順,Unit４
334,edge,縁,Unit４
335,eraser,消しゴム,Unit４
336,document,書類,Unit４
337,mystery,神秘,Unit４
338,baggage,手荷物,Unit４
339,mathematics,数学,Unit４
340,astronaut,宇宙飛行士,Unit４
341,understand,～を理解する,Unit４
342,want,～をしたいと思う,Unit４
343,speak,～を話す,Unit４
344,laugh,笑う,Unit４
345,show,～に...を見せる,Unit４
346,find,～を見つける,Unit４
347,sleep,眠る,Unit４
348,spend,～を過ごす,Unit４
349,travel,旅行する,Unit４
350,swim,泳ぐ,Unit４
351,pull,～を引っ張る,Unit４
352,stay,とどまる,Unit４
353,teach,～を教える,Unit４
354,finish,～を終える,Unit４
355,drive,を運転する,Unit４
356,push,～を押す,Unit４
357,fly,飛ぶ,Unit４
358,hold,～を持っている,Unit４
359,try,～をしてみる,Unit４
360,kill,～を殺す,Unit４
361,short,短い,Unit４
362,strange,奇妙な,Unit４
363,dangerous,危険な,Unit４
364,popular,人気のある,Unit４
365,slow,遅い,Unit４
366,both,両方の,Unit４
367,other,もう一方の,Unit４
368,straight,まっすぐな,Unit４
369,possible,可能な,Unit４
370,soft,柔らかい,Unit４
371,each,それぞれの,Unit４
372,clean,きれいな,Unit４
373,safe,安全な,Unit４
374,perfect,完ぺきな,Unit４
375,wonderful,素晴らしい,Unit４
376,fit,適した,Unit４
377,delicious,とてもおいしい,Unit４
378,international,国際的な,Unit４
379,clear,分かりやすい,Unit４
380,foreign,外国の,Unit４
381,wild,野生の,Unit４
382,close,接近した,Unit４
383,hungry,空腹の,Unit４
384,public,公共の,Unit４
385,sorry,気の毒な,Unit４
386,thin,薄い,Unit４
387,honest,正直な,Unit４
388,born,生まれながらの,Unit４
389,human,人間に関する,Unit４
390,dead,死んだ,Unit４
391,also,もまた,Unit４
392,recently,最近,Unit４
393,inside,内側に,Unit４
394,instead,代わりに,Unit４
395,already,既に,Unit４
396,else,そのほかの,Unit４
397,outside,外側に,Unit４
398,certainly,確かに,Unit４
399,probably,たぶん,Unit４
400,yet,まだ,Unit４
401,ladder,はしご,Unit５
402,machine,機械,Unit５
403,science,科学,Unit５
404,area,地域,Unit５
405,novel,小説,Unit５
406,poem,詩,Unit５
407,lawyer,弁護士,Unit５
408,brain,頭脳,Unit５
409,government,政府,Unit５
410,passenger,乗客,Unit５
411,leaf,葉,Unit５
412,author,著者,Unit５
413,luck,運,Unit５
414,castle,城,Unit５
415,photograph,写真,Unit５
416,passage,通路,Unit５
417,damage,損害,Unit５
418,sign,記号,Unit５
419,shock,衝撃,Unit５
420,essay,随筆,Unit５
421,passerby,通行人,Unit５
422,merchant,商人,Unit５
423,neighbor,近所の人,Unit５
424,capital,首都,Unit５
425,enemy,敵,Unit５
426,impression,印象,Unit５
427,fact,事実,Unit５
428,growth,成長,Unit５
429,nurse,看護婦,Unit５
430,fault,欠陥,Unit５
431,press,圧迫,Unit５
432,flight,飛行,Unit５
433,battery,電池,Unit５
434,crowd,群衆,Unit５
435,salary,給料,Unit５
436,lace,レース,Unit５
437,lawn,芝生,Unit５
438,monument,記念碑,Unit５
439,household,家族,Unit５
440,kindergarten,幼稚園,Unit５
441,enter,～に入る,Unit５
442,visit,～を訪問する,Unit５
443,climb,～に登る,Unit５
444,decide,（～することを）決心する,Unit５
445,happen,起こる,Unit５
446,forget,（～したことを）忘れる,Unit５
447,move,～を移動させる,Unit５
448,mean,～を意味する,Unit５
449,fall,落ちる,Unit５
450,die,死ぬ,Unit５
451,fight,戦う,Unit５
452,carry,～を運ぶ,Unit５
453,lend,～に...を貸す,Unit５
454,create,～を創造する,Unit５
455,paint,～を塗る,Unit５
456,pick,～を選ぶ,Unit５
457,smile,ほほえむ,Unit５
458,start,～を始める,Unit５
459,cross,～を横切る,Unit５
460,invite,～を招く,Unit５
461,ask,～に...を尋ねる,Unit５
462,hurry,急ぐ,Unit５
463,learn,～を学ぶ,Unit５
464,answer,～に答える,Unit５
465,touch,～に触れる,Unit５
466,hate,～を嫌う,Unit５
467,lose,～をなくす,Unit５
468,practice,～を練習する,Unit５
469,bark,（犬などが）ほえる,Unit５
470,set,～を（正しい位置に）置く,Unit５
471,rich,裕福な,Unit５
472,proud,誇りに思う,Unit５
473,another,もう1つ（1人）の,Unit５
474,necessary,必要な,Unit５
475,excellent,優秀な,Unit５
476,comfortable,心地よい,Unit５
477,lonely,孤独な,Unit５
478,silent,無口な,Unit５
479,pure,純粋な,Unit５
480,wise,賢い,Unit５
481,gentle,優しい,Unit５
482,dirty,汚い,Unit５
483,real,現実の,Unit５
484,simple,簡単な,Unit５
485,delicate,繊細な,Unit５
486,mad,怒り狂った,Unit５
487,sharp,鋭い,Unit５
488,tropical,熱帯（地方）の,Unit５
489,useful,役に立つ,Unit５
490,few,（a few ～で）少数の,Unit５
491,suddenly,突然に,Unit５
492,actually,実際に,Unit５
493,perhaps,恐らく,Unit５
494,besides,その上,Unit５
495,indeed,実に,Unit５
496,therefore,それゆえに,Unit５
497,later,後で,Unit５
498,eventually,最終的に,Unit５
499,however,しかしながら,Unit５
500,hardly,ほとんど～ない,Unit５
501,tour,周遊旅行,Unit５
502,underground,地下,Unit６
503,meadow,牧草地,Unit６
504,community,地域共同体,Unit６
505,custom,慣習,Unit６
506,society,社会,Unit６
507,nature,自然,Unit６
508,folk,人々,Unit６
509,soul,魂,Unit６
510,shape,形,Unit６
511,square,正方形,Unit６
512,cartoon,漫画,Unit６
513,chapter,章,Unit６
514,economy,節約,Unit６
515,clerk,事務員,Unit６
516,task,任務,Unit６
517,expert,専門家,Unit６
518,interest,関心,Unit６
519,standard,基準,Unit６
520,interview,面接,Unit６
521,error,誤り,Unit６
522,symbol,象徴,Unit６
523,technique,技術,Unit６
524,speech,話すこと,Unit６
525,view,意見,Unit６
526,pleasure,喜び,Unit６
527,rest,休息,Unit６
528,glory,栄光,Unit６
529,avenue,大通り,Unit６
530,lecture,講演,Unit６
531,Character,性格,Unit６
532,laundry,クリーニング店,Unit６
533,manner,方法,Unit６
534,piece,1片,Unit６
535,fiction,小説,Unit６
536,coward,憶病者,Unit６
537,poison,毒,Unit６
538,secret,秘密,Unit６
539,note,覚え書き,Unit６
540,customer,顧客,Unit６
541,wealth,富,Unit６
542,luggage,手荷物,Unit６
543,battle,戦闘,Unit６
544,quarrel,口論,Unit６
545,scene,場面,Unit６
546,sword,剣,Unit６
547,soldier,兵隊,Unit６
548,peace,平和,Unit６
549,murder,殺人,Unit６
550,death,死,Unit６
551,arrive,到着する,Unit６
552,hope,望む,Unit６
553,order,注文する,Unit６
554,pay,払う,Unit６
555,wear,身に着けている,Unit６
556,beat,たたく,Unit６
557,save,救う,Unit６
558,report,報告する,Unit６
559,succeed,成功する,Unit６
560,surprise,驚かす,Unit６
561,satisfy,満足させる,Unit６
562,attack,攻撃する,Unit６
563,record,記録する,Unit６
564,turn,進路を変える,Unit６
565,pass,過ぎる,Unit６
566,repeat,繰り返して言う,Unit６
567,mind,気にする,Unit６
568,wish,あればよいのにと思う,Unit６
569,follow,後について行く,Unit６
570,sound,聞こえる,Unit６
571,famous,有名な,Unit６
572,quiet,静かな,Unit６
573,cheap,安い,Unit６
574,solid,固体の,Unit６
575,moist,湿り気のある,Unit６
576,shy,恥ずかしがりの,Unit６
577,various,さまざまな,Unit６
578,normal,普通の,Unit６
579,clever,利口な,Unit６
580,fine,素晴らしい,Unit６
581,formal,正式な,Unit６
582,ready,準備ができた,Unit６
583,usual,いつもの,Unit６
584,such,そのような,Unit６
585,round,丸い,Unit６
586,stupid,ばかな,Unit６
587,sour,すっぱい,Unit６
588,expensive,高価な,Unit６
589,several,いくつかの,Unit６
590,wrong,間違った,Unit６
591,especially,特に,Unit６
592,exactly,正確に,Unit６
593,anyway,とにかく,Unit６
594,quite,全く,Unit６
595,meanwhile,その間,Unit６
596,nevertheless,それにもかかわらず,Unit６
597,otherwise,さもなければ,Unit６
598,rather,よりむしろ,Unit６
599,scarcely,ほとんど〜ない,Unit６
600,seldom,めったに～ない,Unit６
601,examination,試験,Unit７
602,shade,日陰,Unit７
603,labor,労働,Unit７
604,sense,感覚,Unit７
605,disease,病気,Unit７
606,detective,探偵,Unit７
607,amount,総計,Unit７
608,emperor,皇帝,Unit７
609,distance,距離,Unit７
610,candle,ろうそく,Unit７
611,audience,聴衆,Unit７
612,spirit,精神,Unit７
613,project,計画,Unit７
614,hunger,ひもじさ,Unit７
615,smoke,煙,Unit７
616,traffic,交通,Unit７
617,position,位置,Unit７
618,tale,話,Unit７
619,option,選択肢,Unit７
620,skill,技量,Unit７
621,trade,貿易,Unit７
622,generation,同世代の人々,Unit７
623,category,区分,Unit７
624,elevator,エレベーター,Unit７
625,favor,好意,Unit７
626,trick,策略,Unit７
627,contact,接触,Unit７
628,stock,蓄え,Unit７
629,middle,真ん中,Unit７
630,host,（客をもてなす）主人,Unit７
631,merit,長所,Unit７
632,score,得点,Unit７
633,method,方法,Unit７
634,terror,恐怖,Unit７
635,wheel,車輪,Unit７
