古文,現代語訳
みる,結婚する ／ 会う ／ 見る
みゆ,（女性が）結婚する ／ 会う ／ 見える／見せる
みいる,外から中を見る
みいだす,内から外を見る
まもる,じっと見つめる ／ 大切に世話する
みおこす,（離れた所から）こちらを見る
ながむ,物思いにふける ／ （和歌などを）吟ずる
ふる,年をとる ／ はやらなくなる
さる,（季節・時間が）来る ／ 離れる
さはる,邪魔される
たふ,我慢する ／ 能力がある
ねんず,我慢する ／ 祈る
おこなふ,仏道修行をする
しのぶ（忍ぶ）,我慢する ／ 隠す／（人目を）避ける
しのぶ（偲ぶ）,恋い慕う ／ 賞美する
あり,生きている ／ いる／ある
いぬ（往ぬ・去ぬ）,去る／（時が）過ぎる ／ 死ぬ
いぬ（寝ぬ）,寝る
かくる,死ぬ／亡くなる ／ 隠れる
おくる,死に遅れる ／ 劣る
おく,（霜や露が）降りる ／ そのままにする ／ 除く／差し置く
おどろく,はっと気づく ／ 目が覚める
おどろかす,起こす ／ 気づかせる
うつる,心変わりする ／ 色あせる
うつろふ,心変わりする ／ 色あせる
とふ,安否を尋ねる ／ 訪問する
とぶらふ,見舞う／訪ねる ／ 死を弔う
ゐる（居る）,座る ／ とどまる
ゐる（率る）,引き連れる ／ 身につける
うちとく,油断する ／ 慣れ親しむ
とく,うち解ける ／ ほどく
かしこまる,恐縮する ／ 謝罪する
わきまふ,道理などを理解する ／ 見分けをつける
あきらむ,明らかにする ／ （態度を）はっきりさせる
あきる,（意外なことに）途方に暮れる
ことわる,筋道を立てて説明する ／ 判断する
はつ,完全に...する ／ 終わる／死ぬ
わぶ,...しかねる ／ 気弱になる
そむ,...し始める ／ 初めて...する
かく,...しかける
かぬ,...しかねる
もていく,だんだん...していく
なす,わざと...する ／ する
くどく,くどくど言う ／ 祈願する
ののしる,大声で騒ぐ ／ 評判になる
うへ,天皇 ／ 内裏（宮中）
した,内心 ／ 身分が低いこと
うち,内裏（宮中） ／ 天皇 ／ 内心
おほやけ,天皇 ／ 朝廷
きみ,天皇 ／ 主君
つま,妻から見た夫（またはその逆） ／ 端 ／ きっかけ
にようばう,宮中（貴族の家）に仕える女房
あま,漁師 ／ 海女
じゃうず,高貴な人 ／ 名人
ただびと,臣下 ／ 一般の貴族
しも,（和歌の）下の句 ／ 身分が低い者
きは,身分 ／ 程度 ／ 辺り／端
しな,身分／家柄
いろ,（官位ごとの）装束の色 ／ 顔色 ／ 色欲／情趣
かぎり,最後／最期 ／ 限度
くま,秘密 ／ かげり ／ 曲がり角
かげ,光 ／ 面影 ／ （人や物の）姿
かたち,容貌 ／ 様子／姿
けしき,様子／光景 ／ 機嫌 ／ 兆し
けはい,様子／雰囲気 ／ 態度
ここち,感じ／気分 ／ 気持ち
にほひ,美しさ ／ 良い香り
あいぎゃう,優しさ ／ かわいらしさ
よ,男女の仲 ／ 世間 ／ 治世
よのなか,男女の仲 ／ 世間 ／ 天皇の治世
ちぎり,前世からの因縁 ／ 夫婦の約束
あない,事情 ／ 取次ぎ
たより,機会／ついで ／ 縁故／ゆかり ／ 手紙／音信
よすが,縁故／ゆかり ／ 頼り／身寄り ／ 手段
ゆかり,縁故
おぼえ,評判／人望 ／ 寵愛 ／ 自信
きこえ,評判
おト,便り／音信 ／ 評判 ／ 音（色）／声
あした,朝 ／ 明日
あけくれ,日常／毎日 ／ 夜明けと夕暮れ
あけぼの,夜明けのころ
ひま,隙間 ／ 絶え間 ／ 不仲
つとめて,早朝 ／ 翌朝
ひごろ,数日の間 ／ 平常／普段
つきごろ,数ヶ月の間
としごろ,長年 ／ 数年の間
ひぐらし,一日中
ついで,順序 ／ 機会
あらまし,予定 ／ 概略
をりふし,ちょうどその時 ／ 時節
あやめ（文目）,道理 ／ 菖蒲（植物）
ことわり,道理 ／ 理由
まうけ,ごちそう ／ 準備
いそぎ,急用 ／ 準備
おこなひ,仏道修行
わざ,法要／儀式 ／ 加持祈祷 ／ 〜こと
ぜんちしき,仏道に入るきっかけを作ってくれる人
みち,仏道 ／ 道理 ／ 芸道／専門
しるし,効果 ／ 霊験 ／ 兆し／証拠 ／ はっきりしている
ほい,もともとの願い（出家の願いなど）
つゆ,はかない命 ／ 涙 ／ 全く（＋打消）
て,筆跡／文字 ／ 手段 ／ 腕前
をとこで,漢字
をんなで,平仮名
あそび,詩歌管弦の宴
さくもん,漢詩（を作ること）
かど（才）,学才／才能
かへし,返歌 ／ 返事
すき,風情／風流 ／ 好色／恋愛
なさけ,風流心 ／ 男女の情愛
うつつ,現実 ／ 正気
け,日常
かたみ,思い出（の品）
ふるさと,旧都 ／ なじみの土地
ためし,例
あてなり,高貴だ ／ 上品だ
あらまほし,理想的だ ／ あってほしい
けうなり,滅多にない ／ 意外だ
いうなり,優美だ ／ すぐれている
えんなり,優美だ ／ 色っぽい
なめめかなる,優美だ／上品だ ／ 奥ゆかしい
いまめかし,現代風だ ／ わざとらしい
うるせし,上手だ ／ すぐれている
かどかどし,才気がある
らうらうじ,物慣れている ／ 洗練されている
らうたし,かわいい
をさをさし,物慣れている ／ しっかりしている
てづつなり,下手だ／不器用だ
おいらかなり,穏やかだ ／ あっさりしている
こまやかなり,心がこもっている ／ 色が濃い
ねんごろなり,心がこもっている ／ 親切だ
ひたぶるなり,一途だ／ひたすらだ
まさし（正し）,正しい
まほなり,完全だ／整っている
けやけし,異様である ／ きわだっている
ことなり（殊なり）,格別だ ／ （他とは）違っている
べちなり,格別だ ／ 同じではない
せちなり,すばらしい ／ はなはだしい ／ 大切だ
つきづきし,似つかわしい
ゆかし,見たい／聞きたい／知りたい ／ 心がひかれる
いかめし,盛大である ／ おごそかだ
おもだたし（面立し）,名誉である
まがまがし,不吉だ ／ 憎らしい
いまいまし,不吉だ ／ 慎むべきだ
ゆゑゆゑし,由緒がある
いみじ,非常に ／ 恐ろしい ／ すばらしい
ゆゆし,不吉だ ／ 恐ろしい ／ すばらしい
はつかなり,ほのかだ ／ ほんのちょっと
かそけし,かすかだ ／ 淡い
うちつけなり,突然だ ／ 軽薄だ／不作法だ
とし,早い ／ 速い
とみなり,急だ ／ にわかだ
あなづらはし,侮りたい ／ 気を使わなくてよい
くちをし,残念だ ／ つまらない
あやにくなり,意地が悪い ／ あいにくだ
はらあし,腹黒い ／ 怒りっぽい
ひがひがし,無風流だ ／ ひねくれている
うたてし,情けない ／ 嫌だ／不快だ
